,Description,Comments,Qty,Value,Manufacturer,Man Part No,Vendor
1,"Miniature Screws 3/32""",,20,"000-120, L 3/32, Brass",J.I. Morris,F000120B094,J. I. Morris
2,"Miniature Screws 1/8""",,10,"000-120. L 1/8, Brass",J.I. Morris,F000120B125,J. I. Morris
3,Magnets,,4,"Dia: 1/16, L: 1/4, NdFeB, N52",KJMagnetics,D14-N52,KJMagnetics
4,Outer Shell Large Part,3D printed,1,14.98 cm^3,,,
5,Outer Shell Small Part,3D printed,1,4.43 cm^3,,,
